key,service,layer_id,layer_name,kind,overlay_group,rule,notes
fms.violation_detail,fms,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
glue.connection,glue,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
glue.dev_endpoint,glue,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
glue.table,glue,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
health.health_event,health,L5,workload,spatial,,has-zone,declares its own availability zone
inspector2.inspector2_finding,inspector2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
iot.topic_rule_destination,iot,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
kafka.cluster,kafka,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
kafka.vpc_connection,kafka,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
kinesisanalyticsv2.application,kinesisanalyticsv2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
kinesisanalyticsv2.application_version,kinesisanalyticsv2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
lambda.function,lambda,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
lambda.function_configuration,lambda,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
lambda.version,lambda,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
lightsail.lightsail_db,lightsail,L5,workload,spatial,,has-zone,declares its own availability zone
lightsail.load_balancer,lightsail,L5,workload,spatial,,has-zone,declares its own availability zone
lightsail.instance,lightsail,L5,workload,spatial,,has-zone,declares its own availability zone
m2.environment,m2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
managedblockchain.network,managedblockchain,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
mediaconnect.bridge,mediaconnect,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
mediaconnect.flow,mediaconnect,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
memorydb.snapshot,memorydb,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
memorydb.subnet_group,memorydb,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
migration-hub-refactor-spaces.application,migration-hub-refactor-spaces,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
migration-hub-refactor-spaces.environment_vpc,migration-hub-refactor-spaces,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
migration-hub-refactor-spaces.service,migration-hub-refactor-spaces,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
mq.broker,mq,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
neptune-graph.private_graph_endpoint,neptune-graph,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
neptune.db_cluster_snapshot,neptune,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
neptune.db_instance,neptune,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
neptune.db_subnet_group,neptune,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
network-firewall.firewall,network-firewall,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
networkmonitor.monitor,networkmonitor,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
networkmonitor.probe,networkmonitor,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
opensearch.domain,opensearch,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
opensearch.vpc_endpoint,opensearch,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
opensearchserverless.vpc_endpoint,opensearchserverless,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
opsworks.opswork_stack,opsworks,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
osis.pipeline,osis,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_cluster,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_cluster_automated_backup,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_instance,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_instance_automated_backup,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_proxy,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_proxy_endpoint,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_security_group,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.db_subnet_group,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.option_group,rds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
rds.rds_cluster_snapshot,rds,L5,workload,spatial,,has-zone,declares its own availability zone
rds.rds_snapshot,rds,L5,workload,spatial,,has-zone,declares its own availability zone
redshift.cluster_subnet_group,redshift,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
redshift.redshift_snapshot,redshift,L5,workload,spatial,,has-zone,declares its own availability zone
route53-recovery-control-config.control_panel,route53-recovery-control-config,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
route53resolver.firewall_rule_group_association,route53resolver,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
route53resolver.resolver_dnssec_config,route53resolver,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
route53resolver.resolver_endpoint_ip_address,route53resolver,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
route53resolver.resolver_query_logging_config,route53resolver,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
route53resolver.resolver_rule_association,route53resolver,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
s3control.access_point,s3control,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
sagemaker.domain,sagemaker,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
sagemaker.workforce,sagemaker,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
securityhub.securityhub_finding,securityhub,L5,workload,spatial,,has-zone,declares its own availability zone
synthetics.canary,synthetics,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
transfer.server,transfer,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
transfer.user,transfer,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
vpc-lattice.service_network_vpc_association,vpc-lattice,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
vpc-lattice.target_group,vpc-lattice,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
workspaces-web.network_setting,workspaces-web,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
workspaces.workspace,workspaces,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
workspaces.workspaces_directory,workspaces,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
batch.job,batch,L6,attached,spatial,,outbound-edge,attaches to a workload
cloudhsm.hsm,cloudhsm,L6,attached,spatial,encryption,outbound-edge,attaches to a workload
ec2.address_transfer,ec2,L6,attached,spatial,,outbound-edge,attaches to a workload
ec2.ebs_snapshot,ec2,L6,attached,spatial,,outbound-edge,attaches to a workload
ec2.eip,ec2,L6,attached,spatial,,outbound-edge,attaches to a workload
ec2.instance,ec2,L5,workload,spatial,,manual,an instance IS the workload - things attach to it
ec2.ipam,ec2,L6,attached,spatial,,outbound-edge,attaches to a workload
ec2.network_interface,ec2,L6,attached,spatial,,attached-type,bound to a workload
