source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
redshift,KmsKeyId.anyOf[1],dotted,kms-key,encrypted-by,cfn,high,AWS::Redshift::Cluster/properties/KmsKeyId/anyOf[1],true,
redshift,MasterPasswordSecretKmsKeyId,scalar,kms-key,encrypted-by,doc,medium,redshift.DescribeClusters: 'Key Management Service',true,
redshift,MasterPasswordSecretKmsKeyId.anyOf[0],dotted,kms-key,encrypted-by,cfn,high,AWS::Redshift::Cluster/properties/MasterPasswordSecretKmsKeyId/anyOf[0],true,
redshift,MasterPasswordSecretKmsKeyId.anyOf[1],dotted,kms-key,encrypted-by,cfn,high,AWS::Redshift::Cluster/properties/MasterPasswordSecretKmsKeyId/anyOf[1],true,
redshift,ClusterSecurityGroups.items.anyOf[0],dotted,security-group,protected-by,cfn,high,AWS::Redshift::Cluster/properties/ClusterSecurityGroups/items/anyOf[0],true,
redshift,VpcSecurityGroups[].VpcSecurityGroupId,list_dict,security-group,protected-by,c7n,high,aws.redshift.filters.security-group,false,"asff,doc"
redshift,,,subnet,contained-in,c7n,declared-no-path,aws.redshift.filters.subnet,true,
redshift,VpcId,scalar,vpc,contained-in,asff,high,securityhub.GetFindings: 'VPC that the cluster is in',true,doc
redshift,VpcSecurityGroupIds.items,dotted,vpc,contained-in,cfn,high,AWS::Redshift::Cluster/properties/VpcSecurityGroupIds/items,true,
redshift-snapshot,MasterPasswordSecretKmsKeyId,scalar,kms-key,encrypted-by,doc,medium,redshift.DescribeClusterSnapshots: 'Key Management Service',true,
redshift-subnet-group,SubnetIds.items,dotted,subnet,contained-in,cfn,high,AWS::Redshift::ClusterSubnetGroup/properties/SubnetIds/items,true,
redshift-subnet-group,Subnets[].SubnetIdentifier,list_dict,subnet,contained-in,doc,medium,redshift.DescribeClusterSubnetGroups: 'subnet',true,
redshift-subnet-group,VpcId,scalar,vpc,contained-in,doc,medium,redshift.DescribeClusterSubnetGroups: 'cluster subnet group',true,
